asin,product_name,category,category_encoded,marketplace_region,region_encoded,price,cost,sourcing_cost,monthly_sales,monthly_revenue,monthly_profit,margin_pct,rating,num_reviews,competition,listing_score,fulfillment_type,is_winner,is_profitable,product_url,image_url
B07JW9H4J1,Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for ...,Consumer Electronics,0,IN,0,399.0,126.66,126.66,332,132468.0,10272.08,7.8,4.2,24269,3,8,Amazon FBA,0,0,https://www.amazon.in/Wayona-Braided-WN3LG1-Syncing-Charging/dp/B07JW9H4J1/ref=sr_1_1?qid=1672909124&s=electronics&sr=1-1,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51UsScvHQNL._SX300_SY300_QL70_FMwebp_.jpg
B098NS6PVG,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones; T...,Consumer Electronics,0,US,1,4.99,0.98,0.98,464,2315.36,649.6,28.1,4.0,43994,3,8,Amazon FBA,1,1,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B098NS6PVG/ref=sr_1_2?qid=1672909124&s=electronics&sr=1-2,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31zOsqQOAOL._SY445_SX342_QL70_FMwebp_.jpg
B096MSW6CT,Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13; 12;11;...,Consumer Electronics,0,EU,2,4.99,0.91,0.91,174,868.26,120.06,13.8,3.9,7928,2,7,Amazon FBA,0,0,https://www.amazon.in/Sounce-iPhone-Charging-Compatible-Devices/dp/B096MSW6CT/ref=sr_1_3?qid=1672909124&s=electronics&sr=1-3,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31IvNJZnmdL._SY445_SX342_QL70_FMwebp_.jpg
B08HDJ86NZ,boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant; Tangle-Free; Sturdy Cabl...,Consumer Electronics,0,UK,3,4.5,0.89,0.89,639,2875.5,300.33,10.4,4.2,94363,3,8,Amazon FBA,0,0,https://www.amazon.in/Deuce-300-Resistant-Tangle-Free-Transmission/dp/B08HDJ86NZ/ref=sr_1_4?qid=1672909124&s=electronics&sr=1-4,https://m.media-amazon.com/images/I/41V5FtEWPkL._SX300_SY300_QL70_FMwebp_.jpg
B08CF3B7N1,Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function ...,Consumer Electronics,0,UAE,4,18.0,4.34,4.34,221,3978.0,773.5,19.4,4.2,16905,3,8,Amazon FBA,1,1,https://www.amazon.in/Portronics-Konnect-POR-1080-Charging-Function/dp/B08CF3B7N1/ref=sr_1_5?qid=1672909124&s=electronics&sr=1-5,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31VzNhhqifL._SX300_SY300_QL70_FMwebp_.jpg
B08Y1TFSP6,pTron Solero TB301 3A Type-C Data and Fast Charging Cable; Made in India; 480Mbps Data ...,Consumer Electronics,0,IN,0,149.0,38.52,38.52,283,42167.0,6958.97,16.5,3.9,24871,3,7,Amazon FBA,1,1,https://www.amazon.in/Solero-TB301-Charging-480Mbps-1-5-Meter/dp/B08Y1TFSP6/ref=sr_1_6?qid=1672909124&s=electronics&sr=1-6,https://m.media-amazon.com/images/I/31wOPjcSxlL._SX300_SY300_QL70_FMwebp_.jpg
B08WRWPM22,boAt Micro USB 55 Tangle-free; Sturdy Micro USB Cable with 3A Fast Charging & 480mbps D...,Consumer Electronics,0,US,1,4.99,1.2,1.2,179,893.21,207.64,23.2,4.1,15188,4,9,Amazon FBA,1,1,https://www.amazon.in/boAt-Micro-USB-Tangle-Free-Transmission/dp/B08WRWPM22/ref=sr_1_8?qid=1672909124&s=electronics&sr=1-8,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41jlwEZpa5L._SX300_SY300_QL70_FMwebp_.jpg
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Consumer Electronics,0,EU,2,4.99,1.3,1.3,280,1397.2,120.4,8.6,4.3,30411,3,8,Amazon FBA,0,0,https://www.amazon.in/MI-MTCY001IN-USB-Type-C-Cable/dp/B08DDRGWTJ/ref=sr_1_9?qid=1672909124&s=electronics&sr=1-9,https://m.media-amazon.com/images/I/31XO-wfGGGL._SX300_SY300_QL70_FMwebp_.jpg
B008IFXQFU,TP-Link USB WiFi Adapter for PC(TL-WN725N); N150 Wireless Network Adapter for Desktop -...,Consumer Electronics,0,UK,3,4.75,0.91,0.91,701,3329.75,406.58,12.2,4.2,179691,4,8,Amazon FBA,0,0,https://www.amazon.in/TP-Link-TL-WN725N-150Mbps-Wireless-Adapter/dp/B008IFXQFU/ref=sr_1_10?qid=1672909124&s=electronics&sr=1-10,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31e6ElWRymL._SX300_SY300_QL70_FMwebp_.jpg
B082LZGK39,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones...,Consumer Electronics,0,UAE,4,18.0,4.43,4.43,399,7182.0,1312.71,18.3,4.0,43994,3,7,Amazon FBA,1,1,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Android/dp/B082LZGK39/ref=sr_1_11?qid=1672909124&s=electronics&sr=1-11,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31kj3q4SepL._SY445_SX342_QL70_FMwebp_.jpg
